concurrency;count;command;date_time;used_mem;cached;buffer;swap
1;61;load_command;2024-04-14_18-05-16;696564;3292144;172752;1000444
1;61;stop_command;2024-04-14_18-05-48;1331748;3043444;172852;1000444
1;62;stop_command;2024-04-14_18-07-22;1320876;3043444;173060;1000444
1;63;stop_command;2024-04-14_18-08-55;1321384;3043432;173264;1000444
1;64;stop_command;2024-04-14_18-10-28;1326732;3043444;173444;1000444
1;65;load_command;2024-04-14_18-11-30;717572;3885084;173524;1000444
1;65;stop_command;2024-04-14_18-12-03;1316532;3043480;173656;1000444
1;66;stop_command;2024-04-14_18-13-36;1331224;3043464;173860;1000444
1;67;load_command;2024-04-14_18-14-38;688300;3775652;173944;1000444
1;67;stop_command;2024-04-14_18-15-11;1325792;3043480;174064;1000444
1;68;stop_command;2024-04-14_18-16-44;1322892;3043480;174244;1000444
1;69;stop_command;2024-04-14_18-18-18;1315760;3043484;174468;1000444
1;70;stop_command;2024-04-14_18-19-51;1324060;3043484;174664;1000444
1;71;stop_command;2024-04-14_18-21-25;1325856;3043484;174860;1000444
1;72;stop_command;2024-04-14_18-22-58;1321868;3043484;175044;1000444
1;73;load_command;2024-04-14_18-24-00;708564;3915248;175108;1000444
1;73;stop_command;2024-04-14_18-24-33;1315648;3043484;175216;1000444
1;74;stop_command;2024-04-14_18-26-06;1324996;3043548;175404;1000444
1;75;stop_command;2024-04-14_18-27-40;1310408;3043548;175584;1000444
1;76;load_command;2024-04-14_18-28-42;712980;3886376;175656;1000444
1;76;stop_command;2024-04-14_18-29-14;1327136;3043676;175796;1000444
1;77;stop_command;2024-04-14_18-30-48;1322004;3043676;175988;1000444
1;78;load_command;2024-04-14_18-31-50;697652;3465488;176076;1000444
1;78;stop_command;2024-04-14_18-32-22;1326080;3043676;176168;1000444
1;79;load_command;2024-04-14_18-33-24;692088;3437688;176248;1000444
1;79;stop_command;2024-04-14_18-33-57;1318368;3043804;176348;1000444
1;80;stop_command;2024-04-14_18-35-30;1324596;3043804;176556;1000444
1;81;load_command;2024-04-14_18-36-32;681444;3676200;176632;1000444
1;81;stop_command;2024-04-14_18-37-05;1331428;3043804;176740;1000444
1;82;stop_command;2024-04-14_18-38-38;1321940;3043804;176960;1000444
1;83;stop_command;2024-04-14_18-40-12;1323320;3043868;177148;1000444
1;84;stop_command;2024-04-14_18-41-45;1315212;3043868;177352;1000444
1;85;stop_command;2024-04-14_18-43-19;1320580;3043868;177504;1000444
1;86;stop_command;2024-04-14_18-44-52;1328516;3043868;177696;1000444
1;87;stop_command;2024-04-14_18-46-26;1320256;3043868;177924;1000444
1;88;stop_command;2024-04-14_18-47-59;1320712;3043996;178088;1000444
1;89;stop_command;2024-04-14_18-49-33;1325852;3043996;178272;1000444
1;90;stop_command;2024-04-14_18-51-06;1330344;3043996;178464;1000444
1;91;stop_command;2024-04-14_18-52-40;1325408;3043996;178640;1000444
1;92;load_command;2024-04-14_18-53-42;683484;3734952;178724;1000444
1;92;stop_command;2024-04-14_18-54-14;1327068;3043996;178820;1000444
1;93;stop_command;2024-04-14_18-55-48;1324676;3043996;179024;1000444
1;94;stop_command;2024-04-14_18-57-21;1315460;3043996;179208;1000444
1;95;stop_command;2024-04-14_18-58-55;1315704;3043996;179396;1000444
1;96;stop_command;2024-04-14_19-00-28;1313404;3043996;179576;1000444
1;97;stop_command;2024-04-14_19-02-01;1332324;3043988;179788;1000444
1;98;stop_command;2024-04-14_19-03-35;1319520;3044128;179944;1000444
1;99;load_command;2024-04-14_19-04-37;717704;3918412;180024;1000444
1;99;stop_command;2024-04-14_19-05-09;1318176;3044116;180152;1000444
1;100;load_command;2024-04-14_19-06-12;696220;3666972;180244;1000444
1;100;stop_command;2024-04-14_19-06-44;1321688;3044132;180336;1000444
2;1;stop_command;2024-04-14_19-08-18;1979392;3044404;180564;1000444
2;2;stop_command;2024-04-14_19-09-51;1965624;3044404;180792;1000444
2;3;stop_command;2024-04-14_19-11-25;1976152;3044404;181060;1000444
2;4;load_command;2024-04-14_19-12-27;699140;3224968;181160;1000444
2;4;stop_command;2024-04-14_19-13-00;1974600;3044532;181336;1000444
2;5;stop_command;2024-04-14_19-14-33;1969164;3044532;181596;1000444
2;6;stop_command;2024-04-14_19-16-07;1986908;3044660;181868;1000444
2;7;stop_command;2024-04-14_19-17-41;1968292;3044660;182092;1000444
2;8;stop_command;2024-04-14_19-19-14;1972272;3044660;182356;1000444
2;9;load_command;2024-04-14_19-20-17;683548;3560092;182464;1000444
2;9;stop_command;2024-04-14_19-20-49;1973036;3044788;182600;1000444
2;10;stop_command;2024-04-14_19-22-23;1966796;3044788;182868;1000444
2;11;stop_command;2024-04-14_19-23-56;1977916;3044788;183140;1000444
2;12;stop_command;2024-04-14_19-25-30;1968484;3044788;183392;1000444
