1;53;stop_command;2024-04-14_17-53-17;13.07;0.00;0.13;0.00;0.00
1;54;stop_command;2024-04-14_17-54-51;12.88;0.00;0.62;0.00;0.00
1;55;stop_command;2024-04-14_17-56-24;13.02;0.00;0.38;0.00;0.00
1;56;stop_command;2024-04-14_17-57-58;12.92;0.00;0.87;0.12;0.00
1;57;stop_command;2024-04-14_17-59-31;13.19;0.00;0.25;0.00;0.00
1;58;stop_command;2024-04-14_18-01-05;12.83;0.00;0.38;0.00;0.00
1;59;load_command;2024-04-14_18-02-07;6.08;0.00;23.19;0.00;0.00
1;59;stop_command;2024-04-14_18-02-39;13.34;0.00;0.25;0.12;0.12
1;60;load_command;2024-04-14_18-03-41;6.73;0.00;22.21;0.00;0.00
1;60;stop_command;2024-04-14_18-04-14;13.11;0.00;0.50;0.00;0.00
1;61;load_command;2024-04-14_18-05-16;6.08;0.00;21.47;0.13;0.00
1;61;stop_command;2024-04-14_18-05-48;13.05;0.00;0.38;0.00;0.00
1;62;stop_command;2024-04-14_18-07-22;13.39;0.00;0.13;0.00;0.00
1;63;stop_command;2024-04-14_18-08-55;13.16;0.00;0.50;0.00;0.00
1;64;stop_command;2024-04-14_18-10-28;13.02;0.00;0.25;0.00;0.00
1;65;load_command;2024-04-14_18-11-30;6.42;0.00;22.59;0.00;0.00
1;65;stop_command;2024-04-14_18-12-03;13.03;0.00;0.25;0.13;0.00
1;66;stop_command;2024-04-14_18-13-36;13.19;0.00;0.13;0.00;0.00
1;67;load_command;2024-04-14_18-14-38;5.89;0.00;22.28;0.00;0.00
1;67;stop_command;2024-04-14_18-15-11;12.89;0.00;0.38;0.00;0.00
1;68;stop_command;2024-04-14_18-16-44;13.16;0.00;0.13;0.00;0.00
1;69;stop_command;2024-04-14_18-18-18;13.47;0.00;0.25;0.12;0.00
1;70;stop_command;2024-04-14_18-19-51;12.96;0.00;0.25;0.13;0.00
1;71;stop_command;2024-04-14_18-21-25;13.36;0.00;0.12;0.00;0.00
1;72;stop_command;2024-04-14_18-22-58;13.28;0.00;0.38;0.00;0.00
1;73;load_command;2024-04-14_18-24-00;6.27;0.00;22.92;0.00;0.00
1;73;stop_command;2024-04-14_18-24-33;13.31;0.00;0.62;0.00;0.00
1;74;stop_command;2024-04-14_18-26-06;13.50;0.00;0.12;0.00;0.00
1;75;load_command;2024-04-14_18-27-08;6.04;0.00;21.21;0.00;0.00
1;75;stop_command;2024-04-14_18-27-40;12.81;0.00;0.50;0.00;0.00
1;76;load_command;2024-04-14_18-28-42;6.15;0.00;22.31;0.00;0.00
1;76;stop_command;2024-04-14_18-29-14;12.94;0.00;0.25;0.00;0.00
1;77;stop_command;2024-04-14_18-30-48;13.03;0.00;0.25;0.00;0.00
1;78;load_command;2024-04-14_18-31-50;5.06;0.00;23.61;0.00;0.00
1;78;stop_command;2024-04-14_18-32-22;13.11;0.00;0.50;0.00;0.00
1;79;load_command;2024-04-14_18-33-24;6.13;0.00;22.35;0.13;0.00
