concurrency,count,command,Mean [CPU]Totl% excluding 0%,Mean [MEM]Used,sum(Disk Read + Write KB)
1,1,load,21.733266733266735,4195006.392626728,31884531.0
1,2,load,21.87710604558969,4242284.438756855,42057068.0
1,3,load,21.755769230769232,4340837.782608695,101038420.0
1,4,load,21.842897460018815,4328220.04373423,105409567.0
1,5,load,21.879032258064516,4234250.744142455,33725986.0
1,6,load,22.170974155069583,4316813.475128645,98293310.0
1,7,load,22.42645607107601,4243224.227027027,36014909.0
1,8,load,21.664527956003667,4328861.230268511,105398815.0
1,9,load,21.53409090909091,4322837.673469388,97217296.0
1,10,load,21.305893358278766,4333100.096345515,105411977.0
1,11,load,21.895138226882747,4323669.3617747445,98286576.0
1,12,load,21.591970121381888,4329656.352841391,98289719.0
1,13,load,21.70729366602687,4347568.020033389,105410043.0
1,14,load,21.90203685741998,4348544.974533107,105408792.0
1,15,load,21.8075117370892,4343986.663324979,105407191.0
1,16,load,21.606603773584904,4327867.628936171,98305174.0
1,17,load,21.56355140186916,4323013.9410278015,98305975.0
1,18,load,21.763862332695986,4354638.692372171,105427696.0
1,19,load,21.649189704480456,4372489.67278798,105426077.0
1,20,load,22.32638888888889,4262566.223034735,35312299.0
1,21,load,21.632571996027806,4238410.497687327,88388002.0
1,22,load,22.09012464046021,4247203.902085222,33301594.0
1,23,load,21.72673849167483,4281580.857657658,63441094.0
1,24,load,22.099706744868037,4293083.687445127,105397583.0
1,25,load,21.845857418111752,4274682.584229391,48676551.0
1,26,load,21.96087786259542,4350530.837951302,105411224.0
1,27,load,22.33893280632411,4244828.966023875,104356470.0
1,28,load,21.799627213420315,4337193.4778982485,98315970.0
1,29,load,21.89524733268671,4263886.570135746,36067624.0
1,30,load,21.400925925925925,4348085.855120732,104747675.0
1,31,load,21.631327602674308,4358641.644110275,105430984.0
1,32,load,21.46698113207547,4352149.949748743,104914330.0
1,33,load,21.831749049429657,4337828.885860306,97042505.0
1,34,load,21.800376647834273,4361275.976686095,107313712.0
1,35,load,21.515669515669515,4356112.356902357,105412573.0
1,36,load,21.503330161750714,4361503.083892617,105432214.0
1,37,load,21.93270142180095,4348865.015332198,98217684.0
1,38,load,21.389199255121042,4366718.804366079,105416901.0
1,39,load,21.562091503267975,4345871.413153457,98309855.0
1,40,load,21.97172478793591,4336188.590330789,98301573.0
1,41,load,21.889635316698655,4369288.32885906,105425594.0
1,42,load,21.927835051546392,4358738.276261373,105418375.0
1,43,load,21.745714285714286,4377256.51969824,105429976.0
1,44,load,21.441011235955056,4391329.0930232555,104932086.0
1,45,load,21.67269267364415,4354413.701265823,98302165.0
1,46,load,21.49122807017544,4367311.060380479,105426369.0
1,47,load,21.451286764705884,4359818.811522634,105427584.0
1,48,load,21.931297709923665,4377357.434276206,107313563.0
1,49,load,21.93139097744361,4358020.141652614,98308786.0
1,50,load,22.067877629063098,4350889.084802687,98300758.0
1,51,load,21.64639850327409,4373803.896924356,100243445.0
1,52,load,21.413891531874405,4386966.151006712,105423712.0
1,53,load,21.995196926032662,4354172.615120275,86386202.0
1,54,load,21.96438612933458,4354710.359493671,98295810.0
1,55,load,21.95614035087719,4370495.7534246575,98303574.0
1,56,load,21.69130028063611,4371201.1857968625,105425998.0
1,57,load,21.645376549094376,4381954.331929233,104410253.0
1,58,load,21.876106194690266,4345900.11558669,77487562.0
1,59,load,21.717307692307692,4376350.637436762,105431575.0
1,60,load,21.584729981378025,4406661.814602133,104889777.0
1,61,load,21.389845874886674,4380837.580408163,105400195.0
1,62,load,21.700191570881227,4383257.622073579,105425193.0
1,63,load,21.630268199233715,4315896.4201077195,40995880.0
1,64,load,21.57644824311491,4401729.090909091,105417976.0
1,65,load,21.72865275142315,4388947.407531381,105425182.0
1,66,load,22.156190476190478,4353865.96413322,89312790.0
1,67,load,21.998037291462218,4349594.450482033,78103992.0
1,68,load,21.958413926499034,4342729.028972783,74727852.0
1,69,load,21.855924170616113,4386863.408900084,104353308.0
1,70,load,22.178247734138974,4294342.027447392,98316370.0
1,71,load,21.907692307692308,4384405.964853557,105432559.0
1,72,load,22.225646123260436,4301250.0018399265,105392523.0
1,73,load,21.88568683957733,4309530.5978647685,39765170.0
1,74,load,21.65074906367041,4394410.561056105,105410777.0
1,75,load,22.114737883283876,4323400.21719457,40981422.0
1,76,load,21.76886341929322,4370577.329923274,96670783.0
1,77,load,21.944392082940624,4375830.099746407,97874083.0
1,78,load,21.829450139794968,4384880.182741117,98278397.0
1,79,load,21.673644148430068,4391021.180602007,105402779.0
1,80,load,21.981150793650794,4313981.738970588,35695994.0
1,81,load,21.92504743833017,4393950.643333334,105421571.0
1,82,load,21.82804995196926,4396295.871186441,98295975.0
1,83,load,21.411275415896487,4399563.312760633,105432173.0
1,84,load,21.51123090745732,4403947.825101214,105430264.0
1,85,load,22.02868068833652,4304695.250896057,36015577.0
1,86,load,21.86048689138577,4393844.073089701,105417970.0
1,87,load,21.900282220131704,4395588.284745763,98287588.0
1,88,load,21.61228406909789,4406951.152228763,104360420.0
1,89,load,21.918095238095237,4381893.5046808515,98304515.0
1,90,load,22.094302554027504,4371286.925531914,77180596.0
1,91,load,21.591039084842706,4392119.1254237285,91227593.0
1,92,load,21.896486229819562,4377836.141501294,89291732.0
1,93,load,21.62370649106303,4415450.239057239,105429910.0
1,94,load,21.6682156133829,4392711.254408061,98305056.0
1,95,load,21.722543352601157,4396752.107173725,95855835.0
1,96,load,21.835394862036157,4392787.734693877,97495574.0
1,97,load,22.270323212536727,4309905.424657534,98951583.0
